Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Token
"0x0959a0e14bb51b91330204a7ec05b4353098cf9ec0c0ef6ce7093bc6e702db7f","Success","Trade","84958038","2026-04-01 09:35:13","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","110.3058","$110.31","USD Coin (PoS)(USDC.e)"
"0x9f6c01ae7b91793d539e91aa1700f2c86bf28c95e79816a8ffd75a6cdd083d87","Success","Trade","84958038","2026-04-01 09:35:13","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","4.851","$4.85","USD Coin (PoS)(USDC.e)"
"0x77a030792a9e352b18889b64c71e5a2aa93ff1d606227bbfa93e70dbf0178506","Success","Trade","84958038","2026-04-01 09:35:13","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","1.3068","$1.31","USD Coin (PoS)(USDC.e)"
"0x718957f5fec2e1b80b79e9e945c5dfc8965915ec148a2f5e7ed16021855e5e45","Success","Trade","84958038","2026-04-01 09:35:13","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","19.4535","$19.45","USD Coin (PoS)(USDC.e)"
"0xd8643236cf387af565c4f7fb656a509e78df212ea039be5c22c78c1fa121970e","Success","Trade","84958038","2026-04-01 09:35:13","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","1.8018","$1.80","USD Coin (PoS)(USDC.e)"
"0xac3f152f5ae165d84af7f0c876c298fda8c1838b9dcb31591e080ca8673bb17b","Success","Trade","84958038","2026-04-01 09:35:13","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","11.6226","$11.62","USD Coin (PoS)(USDC.e)"
"0xf710de3e2cf981b1de71f3b7149897a9ac663064389e3f0c774c4b699b5a21e5","Success","Trade","84958038","2026-04-01 09:35:13","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","44.4609","$44.46","USD Coin (PoS)(USDC.e)"
"0x6f8f678b1ff3d5c8a352d9de9475858004da4baf1ae278740ba9d049c6495284","Success","Trade","84958038","2026-04-01 09:35:13","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","6.732","$6.73","USD Coin (PoS)(USDC.e)"
"0x3f990c42cdc12a30587e501d7fb0ee9d56ea053681d43c16f21e16815e935858","Success","Trade","84958037","2026-04-01 09:35:11","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","1,901.988","$1,901.99","USD Coin (PoS)(USDC.e)"
"0x29917ef48dde21d7f6421f49ba0e437a05cc8937e46a64b3556468c910a714b2","Success","Trade","84957782","2026-04-01 09:26:41","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","5.68431","$5.68","USD Coin (PoS)(USDC.e)"
"0x9cdcbf616b19826f8f096fd5a3ad8bad71864e2bb5e1beb26e1338f44e81fe07","Success","Trade","84957778","2026-04-01 09:26:33","0x751a2b86cab503496efd325c8344e10159349ea1","Polymarket: Sharky6999","0x4bfb41d5b3570defd03c39a9a4d8de6bd8b8982e","Polymarket: CTF Exchange","16.64334","$16.64","USD Coin (PoS)(USDC.e)"
